×	乂
㙶	{京上}尚土
㜌	{穀框}一女
㝅	{穀框}一子
㣲	{微上}一口
㪟	{京上}日夊
㮂	{具上}八木
㷤	{穀框}一火
㺉	{穀框}一犬
㼰	{卑上}十瓦
䋰	{具上}八糸
䍍	{穀框}一缶
䐨	{穀框}一月
䡞	{具上}八車
䪿	{囟框}乂頁
䫌	{卑上}十頁
䯧	{亮上}冂口
䲭	{卬左}七鳥
举	{兴上}八𰀁
亳	{亮上}丿七
亴	{亮上}土九
剠	{京上}小刂
剸	{專上}寸刂
勍	{京上}小力
印	{卬左}一卩
发	{发左}又丶
嗀	{穀框}一口
囪	{囟框}𰀪丶
夐	{奐上}目夊
就	{京上}小尤
帋	{卬左}七巾
幑	{微上}一巾
廌	{鹿上}丂灬
彀	{穀框}一弓
微	{微上}一几
徵	{微上}一王
徽	{微上}一糸
恖	{囟框}乂心
悤	{囟框}夊心
愨	{穀框}一心
慤	{穀框}几心
挙	{兴上}八手
敦	{京上}子夊
敻	{奐上}目夊
昏	{卬左}七日
榖	{穀框}一木
殼	{穀框}一几
氐	{卬左}七丶
氒	{卬左}七十
烹	{京上}了灬
瑴	{穀框}一王
甎	{專上}寸瓦
瞉	{穀框}一目
穀	{穀框}一禾
粤	{囟框}米丂
糓	{穀框}一米
縠	{穀框}一糸
蚃	{纟上}丿虫
螜	{穀框}一虫
衰	{京上}一𧘇
衷	{京上}丨𧘇
袅	{鸟上}亠𧘇
裊	{鳥上}亠𧘇
裛	{京上}巴𧘇
襄	{襄上}𠀎𧘇
誉	{兴上}八言
豰	{穀框}一豕
貫	{母框}十貝
贯	{母框}十贝
轂	{穀框}一車
迎	{卬左}卩辶
遭	{曹上}日辶
郫	{卑上}十阝
郭	{京上}子阝
鄟	{專上}寸阝
鄡	{鳥上}木阝
飨	{纟上}丿食
鰴	{微上}一魚
鵯	{卑上}十鳥
鶁	{京上}小鳥
鶉	{京上}子鳥
鷇	{穀框}一鳥
鷒	{專上}寸鳥
鸙	{龠上}冊鳥
鹎	{卑上}十鸟
鹑	{京上}子鸟
黴	{微上}一黑
黽	{黽中}𬼖彐
龡	{龠上}冊欠
龢	{龠上}冊禾
龥	{龠上}冊頁
嗀	{穀框}一口
穀	{穀框}一禾
𗄪	{介下}𰀪乂
𗄰	{介下}冂三
𗄽	{介下}䒑巾
𗏏	{介下}乂𢆉
𘣳	{乍下}乙一
𘥰	{乍下}乙二
𘥱	{乍下}乙二
𛃊	{微上}一几
𠂁	{介下}一亠
𠂦	{介下}一𰀁
𠂵	{介下}土𰀁
𠂶	{烏上}一丿
𠃤	{卬左}一𫶧
𠅏	{京上}コ丿
𠅖	{京上}口十
𠅡	{京上}尸尸
𠅸	{亮上}耂匕
𠅿	{亮上}二目
𠆒	{亮上}立日
𠑼	{卬左}コ儿
𠒂	{卬左}コ儿
𠒆	{囟框}乂儿
𠛊	{卬左}七刂
𠜱	{卑上}十刂
𠝷	{鳥上}八刀
𠭠	{奐上}尸又
𠯑	{卬左}七口
𠱗	{京上}冂二
𡊂	{卬左}刀土
𡎲	{亮上}口土
𡕨	{京上}口夊
𡕱	{奐上}日夊
𡠆	{穀框}一女
𡦨	{京上}子虎
𡬱	{京上}小寸
𡭏	{專上}舌寸
𡷊	{鸟上}一山
𢆿	{囟框}乂幺
𢉖	{鹿上}厶厶
𢉻	{鹿上}力口
𢊁	{鹿上}勹灬
𢊇	{鹿上}亠𧘇
𢍄	{囟框}乂廾
𢕄	{微上}一丩
𢗪	{卬左}七心
𢚟	{京上}了心
𢞯	{專上}寸心
𢡴	{專上}予心
𢢢	{穀框}王心
𢣯	{穀框}示心
𢻁	{奐上}十又
𢾛	{亮上}丁夊
𣁽	{鬼左}⺀十
𣂳	{亮上}丁斤
𣅲	{卬左}𬺰日
𣆾	{卬左}欠日
𣊛	{曹上}日日
𣚯	{穀框}木口
𣢎	{卬左}七欠
𣢔	{卬左}一欠
𣪛	{穀框}冂一
𣪢	{亮上}丁殳
𣪥	{穀框}一口
𣪨	{穀框}一大
𣪳	{穀框}一欠
𣫀	{穀框}⺧口
𣫃	{穀框}爫子
𣫇	{穀框}儿示
𣫉	{穀框}禾乃
𣫗	{穀框}口米
𣫳	{母框}ナ冊
𣮢	{京上}子毛
𣹬	{穀框}一水
𤊱	{奐上}勹灬
𤚲	{穀框}一牛
𤚼	{穀框}一牛
𤛓	{穀框}几牛
𤠼	{穀框}几犬
𤭞	{京上}子瓦
𤰃	{介下}𰀁一
𤰆	{介下}上𰀁
𤱚	{卬左}彐田
𤴝	{專上}乙龰
𤿾	{卑上}十皮
𥀎	{穀框}一皮
𥁉	{母框}ナ皿
𥄇	{卬左}七目
𥄤	{卬左}一目
𥇨	{虍上}火目
𥔳	{穀框}一石
𥔼	{穀框}一石
𥟃	{虍上}口禾
𥡛	{穀框}一禾
𦄯	{專上}寸糸
𦎫	{京上}日羊
𦎯	{穀框}一⺶
𦎼	{穀框}几羊
𦕌	{卬左}七耳
𦤘	{京上}日自
𧉜	{卬左}七虫
𧌠	{卑上}十虫
𧏚	{穀框}一虫
𧐜	{穀框}几虫
𧓂	{亮上}虫虫
𧢢	{龠上}冊見
𧰽	{雋下}一𧰨
𧱃	{雋下}一豕
𨕙	{鳥上}力辶
𨖂	{鳥上}口辶
𨖇	{專上}寸辶
𨙄	{龠上}冊辶
𨙵	{纟上}丿阝
𨝋	{祭上}示阝
𨢋	{穀框}一酉
𨾛	{卬左}七隹
𨿡	{京上}子隹
𨿵	{卑上}十隹
𩀠	{穀框}一隹
𩌊	{穀框}一革
𩌥	{穀框}一革
𩑝	{卬左}卩頁
𩑥	{卬左}七頁
𩓆	{雋下}山頁
𩘁	{京上}小風
𩡿	{雋下}一馬
𪃷	{具上}小鳥
𪅏	{穀框}几鳥
𪆑	{穀框}口鳥
𪇂	{穀框}火鳥
𪇗	{穀框}禾鳥
𪐗	{曾中}火火
𪛊	{龠上}冊斤
𪛌	{龠上}冊虎
𪛓	{龠上}冊鹿
𪯓	{曹上}日夊
𪸿	{京上}子灬
𪿝	{兴上}八石
𫑃	{鹿上}木辶
𫤘	{囟框}〢儿
𫨿	{京上}子又
𫩂	{京上}日又
𫿀	{京上}小夊
𬆮	{穀框}一鸟
𬆯	{穀框}夕夕
𬊧	{京上}小灬
𬡼	{卬左}七見
𬨼	{專上}刂辶
𬱳	{龠上}冊页
𬴔	{亮上}口儿
𬺟	{龠上}冊见
𬼭	{京上}了也
𬽓	{亮上}丁也
𬽗	{亮上}丁巴
𬽙	{京上}小甫
𭀸	{鬼左}囗𠂭
𭄜	{龠上}冊刂
𭅤	{卑上}十也
𭍻	{介下}乚土
𭎁	{卬左}七土
𭐟	{纟上}丿又
𭕓	{京上}田尤
𭝵	{亮上}丁心
𭮽	{穀框}夕㐄
𮊯	{亮上}丁羊
𮓝	{虍上}匕龰
𮓢	{虍上}八月
𮕹	{馬上}亠𧘇
𮞽	{鳥上}方辶
𮠄	{京上}田阝
𮨖	{京上}𧘇頁
𮩸	{馬上}口丨
𮰡	{兴上}八土
穀	{穀框}一禾
𰁄	{具上}八乙
𰅕	{曹上}日力
𰊙	{穀框}几土
𰑓	{母框}艹心
𰒍	{穀框}口心
𰓅	{卬左}七手
𰔕	{穀框}一手
𰙮	{卑上}十止
𰚉	{穀框}口冊
𰻮	{鸟上}木阝
𰻯	{京上}小阝
𱁈	{纟上}丿隹
𱂮	{卑上}十页
𱈑	{微上}一鱼
𱈢	{雋下}一鳥
𱈿	{穀框}王鳥
𱉰	{兴上}八鸟
𱊵	{龠上}冊鸟
𱋞	{穀框}龶夊
𱏶	{具上}八古
𱐢	{祭上}示刂
𱰓	{龠上}冊瓦
𱱸	{祭上}弓夊
𱳲	{卬左}卩石
𱼥	{亮上}月馬
𱽈	{卬左}一艮
𲌭	{鬼左}礻土
𗄶	{介下}丷乙{介下}
𗄸	{介下}一丷{介下}
𗅪	{介下}乙艹{介下}
𗆦	{介下}コ冂{介下}
𗆴	{介下}コ一{介下}
𗆵	{介下}コ一{介下}
𗆷	{介下}乙丿{介下}
𪕷	{穀框}一臼{鼠下}
𪕸	{穀框}一臼{鼠下}
𲋻	{馬上}一月{飞右}
㐯	{京上}口禾日
㔡	{囟框}乂匕力
㗽	{纟上}丿丶口
㝄	{京上}子七凵
㠞	{微上}一王山
㪆	{卬左}七丶又
㪏	{卑上}十⺊又
㲉	{穀框}一卯丶
㲊	{虍上}一八殳
㲤	{京上}一𧘇毛
㲳	{卬左}七丶夫
䃞	{京上}子九石
䃦	{京上}子夊石
䢑	{卬左}七丶辶
䫒	{卬左}七日頁
䯬	{京上}囗口十
䶳	{龠上}冊亠几
䶵	{龠上}冊⺁虎
亸	{京上}子丷十
勷	{襄上}𠀎𧘇力
嚮	{纟上}丿丶向
嚲	{京上}子口十
塾	{京上}子九土
墪	{京上}子夊土
孰	{京上}子九丶
慶	{鹿上}乙心夊
憝	{京上}子夊心
懲	{微上}一王心
懸	{具上}小丿心
撉	{京上}子夊手
熟	{京上}子九灬
瓤	{襄上}𠀎𧘇瓜
粵	{囟框}丿米丂
縣	{具上}小丿糸
蠁	{纟上}丿丶虫
觳	{穀框}一⺈用
豋	{祭上}一口䒑
蹵	{京上}小尤足
遦	{母框}十貝辶
邸	{卬左}七丶阝
郷	{纟上}丿彐阝
鄉	{纟上}丿丶阝
鄊	{纟上}丿耳阝
鄕	{纟上}丿白阝
鄳	{黽中}𬼖彐阝
鐜	{京上}子夊金
響	{纟上}丿丶日
顖	{囟框}乂心頁
饗	{纟上}丿丶食
鴟	{卬左}七丶鳥
鷲	{京上}小尤鳥
鸱	{卬左}七丶鸟
鹫	{京上}小尤鸟
龣	{龠上}冊彐水
龤	{龠上}冊匕白
	{黽中}彐彐𠂭
懲	{微上}一王心
響	{纟上}丿丶日
懲	{微上}一王心
響	{纟上}丿彐日
𗄩	{介下}一乙丿
𗄫	{介下}丿乂乙
𗄬	{介下}一丨丶
𗄭	{介下}一コ冂
𗄮	{介下}一乙川
𗄯	{介下}一乙匕
𗄱	{介下}𰀪乂丨
𗄲	{介下}𰀪乂丿
𗄳	{介下}⺌乚乙
𗄴	{介下}丷丿乂
𗄵	{介下}丷乙丿
𗄷	{介下}コ匕丶
𗄹	{介下}𰀪乂丅
𗄺	{介下}乚𰀪乂
𗄻	{介下}亠冂匕
𗄼	{介下}䒑几一
𗄾	{介下}䒑冂乙
𗄿	{介下}丷丨乂
𗅀	{介下}丷乙乂
𗅁	{介下}コ冂二
𗅂	{介下}乙𰀁匕
𗅃	{介下}乙𰀁匕
𗅄	{介下}乙丿匕
𗅅	{介下}乚丿乙
𗅆	{介下}卅丿乂
𗅇	{介下}一䒑乂
𗅈	{介下}一⺌一
𗅉	{介下}𰀪乂匕
𗅊	{介下}丿乂一
𗅋	{介下}丿乂匕
𗅌	{介下}䒑丨干
𗅍	{介下}丷一匕
𗅎	{介下}丷亠丿
𗅏	{介下}ユ干匕
𗅐	{介下}コ一二
𗅑	{介下}ユ⺊匕
𗅒	{介下}乙丶二
𗅓	{介下}丰己丿
𗅔	{介下}一卅乙
𗅕	{介下}一冂一
𗅖	{介下}一丿乙
𗅗	{介下}一乙丿
𗅘	{介下}⺊乙匕
𗅙	{介下}十二乂
𗅚	{介下}𰀪乂丿
𗅛	{介下}𰀪乂丶
𗅜	{介下}𰀪乂丨
𗅝	{介下}𰀪乂丿
𗅞	{介下}丿乂乙
𗅟	{介下}丿乂乙
𗅠	{介下}𢆉一匕
𗅡	{介下}丷丨二
𗅣	{介下}丷乚乂
𗅤	{介下}丷コ冂
𗅥	{介下}丷乙匕
𗅦	{介下}コ冂匕
𗅧	{介下}コ丿匕
𗅨	{介下}乙𰀁乂
𗅩	{介下}乙卅乚
𗅫	{介下}乚丨乂
𗅬	{介下}一卌一
𗅭	{介下}𰀁丷乂
𗅮	{介下}卌一丨
𗅯	{介下}一冂乂
𗅰	{介下}一几乂
𗅱	{介下}一䒑匕
𗅲	{介下}一丷匕
𗅳	{介下}𰀪乂冂
𗅴	{介下}𰀪乂冂
𗅵	{介下}亠一乂
𗅶	{介下}亠丨乂
𗅷	{介下}亠冂乂
𗅸	{介下}𢆉一又
𗅹	{介下}𢆉𰀪乂
𗅺	{介下}䒑丨乂
𗅻	{介下}䒑丨丿
𗅼	{介下}丷一干
𗅽	{介下}丷一丿
𗅾	{介下}丷丿丿
𗅿	{介下}丷ス乂
𗆀	{介下}コ冂匕
𗆁	{介下}コ冂丨
𗆂	{介下}乙𰀁丶
𗆃	{介下}乙丶乂
𗆄	{介下}乚丿二
𗆅	{介下}一卅匕
𗆆	{介下}卌丷丿
𗆇	{介下}コ冂丶
𗆈	{介下}𰀪乂乂
𗆉	{介下}𰀪乂一
𗆊	{介下}𰀪乂丶
𗆋	{介下}𰀪乂丶
𗆌	{介下}𰀪乂二
𗆍	{介下}丿乂丶
𗆎	{介下}䒑丨丿
𗆏	{介下}䒑丨二
𗆐	{介下}䒑冂乂
𗆑	{介下}丷丿丿
𗆒	{介下}丷乙丿
𗆓	{介下}コ一匕
𗆔	{介下}コ冂丰
𗆕	{介下}コ冂乂
𗆖	{介下}乙𰀁冂
𗆗	{介下}乙艹乂
𗆘	{介下}乙𰀁二
𗆙	{介下}乙乚匕
𗆚	{介下}一卅乂
𗆛	{介下}𰀪乂丨
𗆜	{介下}𰀪乂冂
𗆝	{介下}𰀪乂丨
𗆞	{介下}丿乂乙
𗆟	{介下}丿乂匕
𗆠	{介下}丷土乂
𗆡	{介下}丷一乂
𗆢	{介下}丷丨二
𗆣	{介下}丷乙丿
𗆤	{介下}コ一匕
𗆥	{介下}コ冂丶
𗆧	{介下}コ丿丶
𗆨	{介下}乙𰀁乂
𗆩	{介下}乙丨二
𗆪	{介下}乙𰀁二
𗆫	{介下}乚丿冂
𗆬	{介下}一一匕
𗆭	{介下}𰀪乂二
𗆮	{介下}𰀪乂几
𗆯	{介下}䒑丨二
𗆰	{介下}䒑冂乂
𗆱	{介下}丷丨乂
𗆲	{介下}丷乙匕
𗆳	{介下}丷乙丿
𗆶	{介下}乙𰀁二
𗆸	{介下}丷土乂
𗆹	{介下}丷乙干
𗆺	{介下}丷乙乂
𗆻	{介下}乙丶丶
𗆼	{介下}乚丿乂
𗆽	{介下}亠丨一
𗆾	{介下}𰀪乂冂
𗆿	{介下}乙卌匕
𗇀	{介下}乙丨乂
𗇁	{介下}卅丿乂
𗇂	{介下}乙卌乂
𗎥	{乍下}丨𰀪乂
𗎧	{乍下}乚𰀪乂
𗏠	{介下}乂乙乂
𗡺	{乍下}乙コ乙
𗡻	{乍下}乙䒑乂
𗡼	{乍下}乙丿匕
𗡽	{乍下}乙䒑乂
𗡾	{乍下}乙コ乂
𘈻	{乍下}乙二几
𘈼	{乍下}乙二乂
𘈽	{乍下}乙二乂
𘈾	{乍下}乙二几
𘴀	{介下}丷丿乂
𠂺	{囟框}乂卄一
𠂼	{介下}匚匚コ
𠃼	{囟框}乂卄乚
𠅩	{京上}日九丶
𠅮	{京上}小一兀
𠅷	{京上}口口十
𠅹	{亮上}丁一幺
𠆀	{亮上}一口十
𠆂	{京上}人人丨
𠆃	{京上}小冖儿
𠆆	{京上}口卝干
𠆌	{京上}日八白
𠆓	{京上}子亠乀
𠆔	{京上}子臼儿
𠆙	{亮上}丁亠乀
𠆞	{京上}子亠一
𠖡	{鬼左}冖一寸
𠙧	{卬左}一白几
𠜜	{卬左}七口刂
𠞇	{囟框}乂匕刂
𠠆	{僉上}一灬刂
𠢒	{奐上}匕匕力
𠭗	{虍上}一二又
𠮉	{虍上}一八又
𡅄	{亮上}丁口十
𡏙	{囟框}夊大土
𡐍	{虍上}石又土
𡑘	{卬左}七人土
𡔊	{京上}日卝土
𡕩	{囟框}乂八夊
𡙰	{京上}子九大
𡚥	{奐上}大艹臣
𡝪	{卬左}七日女
𡞔	{母框}十口女
𡥹	{京上}子ユ人
𡦆	{卑上}十乃子
𡦚	{京上}子木口
𡦡	{京上}子耂日
𡦦	{京上}子九火
𡦱	{鹿上}勹灬子
𡦵	{鹿上}丂灬子
𡭅	{京上}子八寸
𡭇	{專上}寸冂人
𡮦	{曹上}日小丿
𡰔	{京上}口小尤
𡼐	{卬左}七日山
𡼖	{京上}子夊山
𢂗	{卬左}一卩巾
𢂟	{发左}又コ巾
𢂭	{发左}又マ巾
𢇆	{囟框}乂幺丨
𢋪	{鹿上}八⺽乂
𢋵	{鹿上}艹囗禾
𢋺	{鹿上}𠂭凵又
𢌇	{鹿上}丂灬厶
𢍍	{囟框}𰀪丶廾
𢍖	{介下}一由廾
𢍙	{囟框}乂乂廾
𢍭	{雋下}一厶廾
𢑥	{互中}冖日木
𢑭	{互中}冖田巾
𢑸	{亮上}口彐巾
𢛭	{纟上}丿一心
𢡱	{穀框}一几心
𢢿	{穀框}一子心
𢥦	{京上}日羊心
𢥲	{京上}日卝心
𢧝	{虍上}尸コ戈
𢨊	{京上}子戈一
𢺾	{卬左}七丶又
𢻓	{京上}子十又
𢼕	{卬左}七丶夊
𢽹	{卬左}七日夊
𢾊	{亮上}丁⺊又
𢾱	{囟框}乂匕又
𢿌	{奐上}目⺊又
𢿒	{母框}十貝又
𣀦	{京上}日卝又
𣀮	{襄上}𠀎𧘇又
𣄵	{京上}小匚儿
𣅞	{卬左}乙丿日
𣆼	{卬左}日コ廾
𣇻	{卬左}七夊日
𣉈	{卬左}七日口
𣋯	{卬左}七日𫶧
𣍖	{曹上}日木日
𣗸	{奐上}匕匕木
𣝝	{穀框}几木口
𣣏	{卬左}七日欠
𣤝	{虍上}八人欠
𣤸	{襄上}𠀎𧘇欠
𣤽	{襄上}口口欠
𣦤	{京上}子夊正
𣨻	{亮上}一夕匕
𣪴	{互中}冖𧰨殳
𣪹	{穀框}一屮凵
𣫅	{穀框}⺈⺆土
𣫌	{穀框}一爫子
𣫎	{穀框}一木口
𣫓	{穀框}一木木
𣫔	{穀框}一豕丶
𣫪	{穀框}禾人日
𣫻	{母框}十口女
𣬈	{囟框}乂匕匕
𣬉	{囟框}乂匕匕
𣰶	{襄上}𠀎𧘇毛
𣱋	{卬左}七丶幺
𣱎	{卬左}七丶儿
𣱐	{卬左}七丶土
𣱑	{卬左}七丶土
𣱒	{卬左}七丶土
𤇡	{卬左}七丶灬
𤉡	{雋下}一勹灬
𤍨	{京上}子九火
𤎼	{京上}小尤火
𤏅	{京上}小尤灬
𤑪	{祭上}非一灬
𤒆	{京上}口𢆉火
𤓅	{曾中}火火几
𤔕	{纟上}丿爫王
𤦨	{卬左}一二丶
𤬵	{卬左}七丶瓦
𤮘	{祭上}一口瓦
𤮩	{京上}日人瓦
𤯁	{卬左}七卄二
𤰎	{京上}子广月
𤴙	{囟框}夊乙龰
𥀩	{黽中}𬼖彐皮
𥀶	{襄上}𠀎𧘇皮
𥂣	{京上}子阝皿
𥂦	{京上}子夊皿
𥃍	{纟上}丿土皿
𥈠	{虍上}一八目
𥋪	{微上}一几目
𥖡	{纟上}丿白石
𥗧	{亮上}石石石
𥝋	{囟框}乂⺽厶
𦎧	{京上}日卝干
𦏧	{京上}日羊屮
𦖞	{卬左}七日耳
𦠷	{囟框}夊乙月
𦡒	{微上}一几月
𦤟	{囟框}乂自犬
𦥮	{卬左}コ〢⺽
𦥼	{黽中}𬼖彐乂
𧇩	{虍上}匕一目
𧋗	{卬左}七虫土
𧎪	{卬左}七虫虫
𧐏	{卬左}七丶虫
𧓎	{卑上}十虫虫
𧓟	{卬左}一乚虫
𧓢	{卬左}七日虫
𧓣	{鹿上}丆罒虫
𧔤	{具上}小丿虫
𧕐	{曹上}日虫虫
𧕵	{黽中}𬼖彐虫
𧖕	{囟框}乂匕虫
𧝗	{京上}子夊𧘇
𧞒	{穀框}禾亠𧘇
𧞹	{穀框}豕亠𧘇
𧞺	{穀框}木口𧘇
𧠟	{卬左}七丶見
𧢒	{微上}一几見
𧢓	{微上}一几見
𧬰	{纟上}丿丶言
𧮸	{虍上}一八又
𧯸	{穀框}一口䒑
𧰄	{京上}子山䒑
𧲇	{穀框}一口豕
𧲊	{鹿上}丂灬豕
𧹲	{穀框}一土八
𨄡	{京上}子九足
𨒦	{卬左}一卩辶
𨓈	{卬左}七口辶
𨖥	{鹿上}厶厶辶
𨗱	{祭上}一口辶
𨜕	{纟上}丿龷阝
𨝅	{纟上}丿白巴
𨝑	{母框}十貝阝
𨝠	{祭上}示口巴
𨝧	{鹿上}厶厶阝
𨟃	{微上}一王阝
𨟍	{京上}囗口阝
𨟐	{京上}尚土阝
𨟚	{襄上}𠀎𧘇阝
𨟞	{京上}子耂阝
𨬽	{纟上}丿丶金
𨰩	{京上}日卝金
𨰯	{京上}日卝金
𨾄	{曾中}火火隶
𨾦	{卬左}七丶隹
𨿹	{卬左}七日隹
𩀻	{京上}小尤隹
𩁛	{京上}口羊隹
𩁡	{穀框}一禾隹
𩍤	{穀框}一口革
𩏻	{穀框}鳥𫝀㐄
𩐴	{亮上}丁立日
𩑾	{卬左}七丶頁
𩒲	{卬左}七口頁
𩔅	{囟框}乂丌頁
𩔙	{囟框}乂匕頁
𩕄	{囟框}夊心頁
𩞠	{纟上}丿隹食
𩞤	{京上}子夊食
𩫃	{京上}囗口子
𩫏	{京上}囗口十
𩫠	{京上}囗口人
𩫧	{京上}囗口一
𩫨	{京上}囗口乙
𩫩	{京上}囗口巴
𩫫	{京上}囗口十
𩫭	{京上}囗口日
𩫯	{京上}囗口寸
𩫰	{京上}囗口女
𩫱	{京上}囗口月
𩴫	{鬼左}口口十
𪁝	{卬左}七口鳥
𪂆	{卬左}七日鳥
𪂧	{鳥上}宀夕㔾
𪄆	{囟框}乂匕鳥
𪄢	{奐上}匕匕鳥
𪅪	{京上}子阝鳥
𪆃	{京上}子夊鳥
𪆝	{京上}子夊鳥
𪆩	{京上}小尤鳥
𪆪	{穀框}一几鳥
𪆾	{京上}口𢆉鳥
𪈃	{京上}囗口鳥
𪈉	{具上}小丿鳥
𪈋	{京上}口卝鳥
𪈷	{京上}日卝鳥
𪉎	{卬左}七日鸟
𪉔	{囟框}乂匕鸟
𪍠	{穀框}一來夊
𪏆	{京上}子龷八
𪏒	{卑上}十龷八
𪏙	{穀框}一龷八
𪒸	{曾中}火火又
𪓞	{黽中}𬼖彐口
𪓪	{黽中}𬼖彐王
𪚴	{黽中}彐彐𠂭
𪛋	{龠上}冊日日
𪛍	{龠上}冊虍丁
𪛏	{龠上}冊立日
𪛕	{龠上}冊丿乂
𪛖	{龠上}冊丿灬
𪜟	{京上}子九厶
𪜦	{亮上}丁卯田
𪢞	{纟上}丿耳向
𪧃	{京上}子千里
𪩧	{亮上}丁匚コ
𪭖	{母框}十貝戈
𪯒	{亮上}丿七夊
𪹱	{京上}子犬灬
𪿂	{微上}一王目
𫋡	{鹿上}丂灬虫
𫑭	{鹿上}乙心阝
𫖎	{京上}小𫝀㐄
𫜕	{穀框}一龶夊
𫢂	{京上}小龸止
𫬅	{鹿上}丂灬口
𫸠	{鹿上}丂灬廾
𫹆	{互中}冖一八
𬁀	{卬左}七日丿
𬁌	{卬左}七日亡
𬇉	{卬左}七丶刀
𬇌	{卬左}七丁口
𬇎	{卬左}七口口
