㑇	亻 负字头 彐
仓	全字头 㔾
仔	亻 子
仕	亻 士
他	亻 也
仗	亻 左字框 4
付	亻 寸
仙	亻 山
仚	全字头 山
仛	亻 3 七
仜	亻 工
仝	全字头 工
仞	亻 刀 4
仟	亻 千
仠	亻 干
仡	亻 卧人 6
仢	亻 勹 4
代	亻 弋
令	今 4
以	以字旁 人
仦	亻 小
仧	卢字头 1 全字头
仨	亻 三
仩	亻 卢字头 1
仪	亻 4 乂
仫	亻 3 厶
们	亻 门
仭	亻 刀 4
仮	亻 反字框 又
仯	亻 少三 3
仰	亻 卬字旁 卩
仱	亻 今
仲	亻 口 2
仳	亻 比字旁 匕
仴	亻 月
仵	亻 卧人 十
件	亻 牛
价	亻 全字头 乔字底
仸	亻 3 大
仹	亻 丰
仺	全字头 虐字底
任	亻 壬
仼	亻 王
份	亻 八 刀
仾	亻 1 彑
仿	亻 方
伀	亻 八 厶
企	全字头 止
伂	亻 1 巾
伃	亻 予
伄	亻 弓 2
伅	亻 1 屯无横
伆	亻 勿
伇	亻 殳
伈	亻 心
伉	亻 亠 几
伊	亻 聿三 3
伋	亻 及
伌	亻 厂 㔾
伍	亻 五
伎	亻 支
伏	亻 犬
伐	亻 戈
休	亻 木
伒	亻 斤
伓	亻 不
伔	亻 冖 几
伕	亻 夫
伖	亻 左字框 又
众	全字头 人 人
优	亻 尤
伙	亻 火
会	全字头 云
伛	亻 匚 乂
伜	亻 九 十
伝	亻 云
伞	全字头 丷 十
伟	亻 韦
传	亻 专
伡	亻 车
伢	亻 牙
伣	亻 见
伤	亻 卧人 力
伥	亻 长
伦	亻 全字头 匕
伧	亻 全字头 㔾
伨	亻 勹 冫
伩	亻 文
伪	亻 4 为字框 4
伫	亻 宀 1
伬	亻 尸 4
伭	亻 亠 幺
伮	亻 女 又
伯	亻 白
估	亻 古
伱	亻 全字头 小
伲	亻 尸 匕
伳	亻 廿 5
伴	亻 丷 举字底
伵	亻 四
伶	亻 今 4
伷	亻 由
伸	亻 日 2
伹	亻 且
伺	亻 5 同字心
伻	亻 干 丷
似	亻 以字旁 人
伽	亻 力 口
伾	亻 不 1
伿	亻 口 八
佀	亻 㠯
佁	亻 厶 口
佂	亻 1 止
佃	亻 田
佄	亻 甘
佅	亻 未
但	亻 日 1
佇	亻 宀 丁
佈	亻 左字框 巾
佉	亻 土 厶
佊	亻 皮
佋	亻 刀 口
佌	亻 止 匕
位	亻 立
低	亻 氏 4
住	亻 4 斜玉
佐	亻 左字框 工
佑	亻 左字框 口
佒	亻 见二 大
体	亻 木 1
佔	亻 卢字头 口
何	亻 可
佖	亻 心 3
佗	亻 宀 匕
佘	全字头 示
余	全字头 余字底
佚	亻 3 夫
佛	亻 弗
作	亻 乍
佝	亻 句
佞	亻 二 女
佟	亻 夂 冬字底
你	亻 负字头 小
佡	亻 全字头 山
佢	亻 匚 叚右角
佣	亻 用
佤	亻 瓦
佥	亼 应字心
佦	亻 石
佧	亻 卢字头 1 卜
佨	亻 勹 巳
佩	亻 风省 1 巾
佪	亻 囗 口
佫	亻 各
佬	亻 老
佭	亻 夂 㐄
佮	亻 亼 口
佯	亻 羊
佰	亻 1 白
佱	亼 1 止
佲	亻 夕 口
佳	亻 土 土
佴	亻 耳
併	亻 䒑 廾
佶	亻 士 口
佷	亻 艮
佸	亻 舌
佹	亻 负字头 厂 㔾
佺	亻 全字头 王
佻	亻 儿 率字腰
佼	亻 六 乂
佽	亻 冫 欠
佾	亻 八 青字底
使	亻 同字心 乂
侀	亻 1 廾 刂
侁	亻 告字头 儿
侂	亻 广 3 七
侃	亻 口 荒字底
侄	亻 至
侅	亻 亥
來	木框 人 人
侇	亻 大框 弓
侈	亻 夕 夕
侉	亻 大 二 5
侊	亻 光
例	亻 歹 刂
侌	今 云
侍	亻 土 寸
侎	亻 米
侏	亻 3 未
侐	亻 3 皿
侑	亻 左字框 青字底
侒	亻 宀 女
侓	亻 聿
侔	亻 厶 牛
侕	亻 而
侖	亼 扁字心
侗	亻 冂 同字心
侘	亻 宀 3 七
侙	亻 弋 工
侚	亻 勹 日
供	亻 共
侜	亻 舟
依	亻 衣
侞	亻 女 口
侟	亻 左字框 2 子
侠	亻 夫 丷
価	亻 覀
侢	亻 1 冂 里无日
侣	亻 口 口
侤	亻 耂 1 5
侥	亻 尧字头 1 儿
侦	亻 卢字头 贝
侧	亻 贝 刂
侨	亻 3 大 乔字底
侩	亻 全字头 云
侪	亻 齐
侫	亻 亡 女
侬	亻 冖 衣省
侭	亻 尸 4 冬字底
侮	亻 卧人 母
侯	亻 候右角 矢
侰	亻 聿三 3 口
侱	亻 口 王
侲	亻 辰
侳	亻 人 人 土
侴	亼 5 里无日 刂
侵	亻 彐 冖 又
侶	亻 口 囱字框
侷	亻 尸 5 口
侸	亻 同字心 䒑
侹	亻 壬 廴
侺	亻 山 今
侻	亻 丷 口 儿
侼	亻 十 冖 子
侽	亻 田 力
侾	亻 耂 子
便	亻 1 日 乂
俀	亻 爫 女
俁	亻 口 5 大
係	亻 3 糸
促	亻 足
俄	亻 3 扌 戈
俅	亻 于无横 率字腰 4
俆	亻 全字头 余字底
俇	亻 犭 王
俈	亻 告字头 口
俉	亻 五 口
俊	亻 厶 傻下角
俋	亻 口 巴
俌	亻 甫
俍	亻 4 艮
俎	人 人 且
俏	亻 尚字头 青字底
俐	亻 禾 刂
俑	亻 龴 甬字底
俒	亻 宀 二 儿
俓	亻 1 巛 工
俔	亻 目 儿
俕	亻 宀 木
俖	亻 不 口
俗	亻 谷
俘	亻 爫 子
俙	亻 乂 左字框 巾
俚	亻 里
俛	亻 负字头 口 儿
俜	亻 由 1 5
保	亻 口 木
俞	亼 青字底 刂
俟	亻 厶 矢
俠	亻 大 人 人
信	亻 言
俢	亻 夂 彡
俣	亻 口 1 大
俤	亻 丷 弟省
俥	亻 1 日 十
俦	亻 寿字头 寸
俧	亻 士 心
俨	亻 1 业 3
俩	亻 两
俪	亻 1 丽下角 丽下角
俫	亻 未 丷
俬	亻 禾 厶
俭	亻 亼 应字心
修	亻 2 夂 彡
俯	亻 广 亻 寸
俰	亻 和
俱	亻 具字头 八
俲	亻 六 乂 力
俳	亻 非
俴	亻 戈 戈
俵	亻 龶 衣省
俶	亻 卢字头 1 小 又
俷	亻 月 巴
俸	亻 春字头 举字底
俹	亻 1 2 1 5 5 1 2 1
俺	亻 大 日 5
俻	亻 夂 田
俼	亻 充字头 青字底
俽	亻 斤 欠
俾	亻 白 3 十
俿	亻 虎
倀	亻 1 2 三 畏字底
倁	亻 矢 口
倂	亻 3 1 左字框 3 干
倃	亻 夂 卜 口
倄	亻 乂 左字框 青字底
倅	亻 亠 人 人 十
倆	亻 1 巾 入 入
倇	亻 宀 夕 㔾
倈	亻 木框 人 人
倉	全字头 4 尸 1 口
倊	亻 八 厶 心
個	亻 囗 古
倌	亻 宀 㠯
倍	亻 立 口
倎	亻 见二 龷 八
倏	亻 2 夂 犬
倐	亻 2 夂 火
們	亻 见二 二 冂 二
倒	亻 至 刂
倓	亻 火 火
倔	亻 尸 屮 凵
倕	亻 垂
倖	亻 土 南字心
倗	亻 月 月
倘	亻 尚
候	亻 2 候右角 矢
倚	亻 大 可
倛	亻 其
倜	亻 周字框 土 口
倝	十 早 人
倞	亻 享字头 小
借	亻 龷 日
倠	亻 隹
倡	亻 日 日
倢	亻 1 聿三 龰
倣	亻 方 攵
値	亻 十 目 5
倥	亻 穴 工
倦	亻 龹 㔾
倧	亻 宀 示
倨	亻 尸 古
倩	亻 龶 青字底
倪	亻 臼 儿
倫	亻 亼 扁字心
倬	亻 卢字头 早
倭	亻 禾 女
倮	亻 日 木
倯	亻 木 八 厶
倰	亻 土 傻下角
倱	亻 日 比字旁 匕
倲	亻 木框 日
倳	亻 同字心 隶字框
倴	亻 大 十 廾
倵	亻 1 弋 止
倶	亻 目 1 八
倷	亻 大 示
倸	亻 爫 木
倹	亻 全字头 同字心 人
债	亻 龶 贝
倻	亻 耳 阝
值	亻 十 具字头
倽	亻 全字头 舍字底
倾	亻 比字旁 页
倿	亻 立 女
偀	亻 艹 见二 大
偁	亻 爫 冂 里无日
偂	亻 䒑 青字底 刂
偃	亻 匚 日 女
偄	亻 而 大
偅	亻 千 里
偆	亻 春字头 日
假	亻 叚字旁无二 二 叚右角 又
偈	亻 日 勹 亾
偉	亻 候右角 2 口 㐄
偊	亻 3 口 禺下
偋	亻 尸 䒑 廾
偌	亻 艹 左字框 口
偍	亻 日 定字底
偎	亻 田 1 畏字底
偏	亻 户 扁字心
偐	亻 立无横 厂 彡
偑	亻 风省 3 虫
偒	亻 日 1 勿
偓	亻 尸 至
偔	亻 口 口 二 5
偕	亻 比字旁 匕 白
偖	亻 者
偗	亻 少三 3 目
偘	亻 口 口 口
偙	亻 立无横 冖 巾
做	亻 古 攵
偛	亻 千 臼
停	亻 享字头 冖 丁
偝	亻 北字旁 匕 青字底
偞	亻 廿 5 木
偟	亻 白 王
偠	亻 覀 女
偡	亻 其 5
偢	亻 禾 火
偣	亻 音
偤	亻 丷 酉
健	亻 聿 廴
偦	亻 疋 青字底
偧	亻 大 夕 夕
偨	亻 止 匕 木
偩	亻 负字头 目 八
偪	亻 同字心 田
偫	亻 彳 土 寸
偬	亻 勿 4 心
偭	亻 面
偮	亻 口 耳
偯	亻 享字头 衣省
偰	亻 丰 刀 大
偱	亻 反字框 十 目
偲	亻 田 心
偳	亻 山 而
側	亻 目 八 刂
偵	亻 卢字头 目 八
偶	亻 日 禺下
偷	亻 亼 青字底 刂
偸	亻 入 1 青字底 5 5
偹	亻 2 夂 田
偺	亻 夂 卜 日
偻	亻 米 女
偼	亻 卢字头 彐 龰
偽	亻 刀中 5 5 5 灬
偾	亻 十 贲字腰 贝
偿	亻 龸 云
傀	亻 鬼
傁	亻 臼 2 又
傂	亻 反字框 虎
傃	亻 龶 糸
傄	亻 大变 丷 目
傅	亻 甫 寸
傆	亻 厂 白 小
傇	亻 艹 耳
傈	亻 覀 木
傉	亻 辰 寸
傊	亻 口 目 八
傋	亻 1 龷 冂 里无日
傌	亻 1 2 举字底 5 灬
傍	亻 立无横 冖 方
傎	亻 十 具字头 八
傏	亻 广 肀 口
傐	亻 高
傑	亻 夕 㐄 木
傒	亻 爫 幺 大
傓	亻 户 羽
傔	亻 兼
傕	亻 冖 隹
傖	亻 全字头 4 尸 1 口
傗	亻 亠 幺 田
傘	全字头 人 人 人 人 十
備	亻 龷 3 甬字底
傚	亻 六 乂 攵
傛	亻 宀 谷
傜	亻 爫 缶
傝	亻 日 羽
傞	亻 差字头 工
傟	亻 八 厶 羽
傠	亻 言 寸
傡	亻 立 立
傢	亻 宀 豕
傣	亻 春字头 氺
傤	亻 十 戈 车旁
傥	亻 尚头 儿
傦	亻 骨
傧	亻 宀 丘无横 1 八
储	亻 讠 者
傩	亻 难
傪	亻 厶 厶 厶 全字头 彡
傫	亻 田 糸
催	亻 山 隹
傭	亻 广 肀 青字底
傮	亻 1 曲 日
傯	亻 囱字框 夂 心
傰	亻 山 月 月
傱	亻 彳 人 人 龰
傲	亻 龶 万无横 攵
傳	亻 1 日 虫无口 寸
傴	亻 匚 口 口 口
債	亻 龶 目 八
傶	亻 戊 卢字头 1 小
傷	亻 卧人 日 1 勿
傸	亻 大框 乂 乂 乂 乂
傹	亻 音 儿
傺	亻 祭字头 示
傻	亻 囱字框 乂 傻下角
傼	亻 廿 口 夫
傽	亻 立 早
傾	亻 比字旁 1 3 目 八
傿	亻 1 止 与无横 灬
僀	亻 廿 儿 冖 巾
僁	亻 3 米 心
僂	亻 口 十 口 女
僃	亻 艹 勹 甬字底
僄	亻 覀 示
僅	亻 廿 口 龶
僆	亻 1 日 十 辶
僇	亻 羽 全字头 彡
僈	亻 日 罒 又
僉	亼 口 口 人 人
僊	亻 覀 大 巳
僋	亻 今 目 八
僌	亻 1 日 十 攵
働	亻 千 里 力
僎	亻 巳 巳 共
像	亻 象
僐	亻 羊 䒑 口
僑	亻 3 大 口 冂 口
僒	亻 穴 聿三 3 口
僓	亻 贵字头 目 八
僔	亻 丷 酉 寸
僕	亻 业 养字头
僖	亻 壴 口
僗	亻 火 火 冖 力
僘	亻 尚 攵
僙	亻 龷 由 八
僚	亻 大变 丷 日 小
僛	亻 其 欠
僜	亻 癶 同字心 䒑
僝	亻 尸 子 子 子
僞	亻 爫 3 5 5 5 灬
僟	亻 幺 幺 戈 人
僠	亻 3 米 田
僡	亻 1 日 虫无口 心
僢	亻 爫 冖 夕 㐄
僣	亻 夫 夫 日
僤	亻 口 口 日 十
僥	亻 土 土 土 1 儿
僦	亻 享字头 小 尤
僧	亻 丷 曾字头无丷 日
僨	亻 十 贲字腰 目 八
僩	亻 见二 二 冂 二 月
僪	亻 予 3 冂 八 口
僫	亻 1 2 1 5 5 1 2 1 心
僬	亻 隹 灬
僭	亻 旡 旡 日
僮	亻 立 里
僯	亻 米 夕 㐄
僰	木框 冂 木框 冂 人
僱	亻 户 隹
僲	亻 覀 夕 㐄
僳	亻 覀 米
僴	亻 见二 二 冂 二 日
僵	亻 1 田 1 田 1
僶	亻 临字旁 叚右角 1 5 三 2 彐
僷	亻 艹 廿 5 木
僸	亻 木 木 示
價	亻 覀 目 八
僺	亻 口 口 口 木
僻	亻 尸 口 辛
僼	亻 曲 同字心 䒑
僽	亻 禾 火 心
僾	亻 爫 冖 心 夂
僿	亻 宀 寒字腰带八 土
儀	亻 美字头 3 扌 戈
儁	亻 隹 凹无横
儂	亻 曲 辰
儃	亻 亠 囗 口 日 1
億	亻 音 心
儅	亻 尚头 田
儆	亻 艹 句 攵
儇	亻 罒 同字心 衣省
儈	亻 亼 曾字头无丷 日
儉	亻 亼 口 口 人 人
儊	亻 木 木 疋
儋	亻 负字头 厂 八 言
儌	亻 白 方 攵
儍	亻 乂 4 横两点 4 凵 傻下角
儎	亻 十 戈 1 日 十
儏	亻 歺 又 米
儐	亻 宀 1 步字底 目 八
儑	亻 日 幺 幺 灬
儒	亻 雨头 而
儓	亻 士 口 冖 至
儔	亻 士 5 工 1 口 寸
儕	亻 亠 丷 2 刀 卬字旁 4 乔字底 二
儖	亻 臣 临右角 皿
儗	亻 匕 矢 龴 疋
儘	亻 肀 1 皿
儙	亻 贵字头 㠯 辶
儚	亻 艹 罒 冖 夕
儛	亻 舞字头 夕 㐄
儜	亻 宀 心 皿 丁
儝	亻 火 火 冖 木
儞	亻 1 八 巾 乂 乂 乂 乂
償	亻 尚头 目 八
儠	亻 巛 囗 乂 5 冬字底 5 冬字底 5
儡	亻 田 田 田
儢	亻 虍 田 心
儣	亻 广 龷 由 八
儤	亻 日 共 氺
儥	亻 士 罒 目 八
儦	亻 鹿 灬
儧	亻 夫 夫 目 八
儨	亻 斤 斤 目 八
儩	亻 目 八 日 勿
優	亻 1 3 见二 二 冖 心 夂
儫	亻 享字头 冖 豕
儬	亻 龶 青字底 目 儿
儭	亻 立 朩 目 儿
儮	亻 厂 禾 禾 止
儯	亻 龹 1 2 举字底 5 灬
儰	亻 艹 爫 3 5 5 5 灬
儱	亻 立 青字底 1 5 1 5 三
儲	亻 言 者
儳	亻 负字头 口 比字旁 匕 兔
儴	亻 亠 口 口 1 龷 衣省
儵	亻 2 夂 黑
儶	亻 山 隹 冂 八 口
儷	亻 1 丽下角 1 丽下角 鹿
儸	亻 罒 幺 横三点 隹
儹	亻 告字头 儿 告字头 儿 目 八
儺	亻 廿 口 夫 隹
儻	亻 尚头 黑
儼	亻 口 口 厂 5 耳 攵
儽	亻 田 田 田 糸
儾	亻 同字心 2 冖 口 口 1 龷 衣省
儿	儿
兀	1 儿
允	厶 儿
兂	左字框 5 5
元	二 儿
兄	口 儿
充	充字头 儿
兆	儿 率字腰
兇	乂 凵 儿
先	告字头 儿
光	光
兊	八 厶 儿
克	古 儿
兌	八 口 儿
免	负字头 口 儿
兎	3 口 儿 4
兏	反字框 卢字头 1 儿
児	2 日 儿
兑	丷 口 儿
兒	臼 儿
兓	旡 旡
兔	兔
兕	凹无横 1 儿
兖	六 厶 儿
兗	亠 八 口 儿
兘	二 儿 厶 口
兙	古 儿 十
党	尚头 儿
兛	古 儿 千
兜	白 卬字旁 叚右角 儿
兝	古 儿 八 刀
兞	古 儿 毛
兟	告字头 儿 告字头 儿
兠	白 北字旁 匕 儿
兡	古 儿 1 白
兢	古 儿 古 儿
兣	古 儿 厂 里
兤	光 广 龷 由 八
入	入
兦	入 5
內	冂 入
全	全字头 王
兩	1 巾 入 入
兪	入 1 青字底 5 5
八	八
公	八 厶
六	六
兮	八 1 5
兯	丷 节字底
兰	䒑 二
共	共
兲	王 八
关	䒑 大
兴	应字心 八
兵	丘无横 1 八
其	其
具	具字头 八
典	见二 龷 八
兹	䒑 幺 幺
兺	八 刀 口 匕
养	养字头 乔字底
兼	兼
兽	丷 田 同字心
兾	丷 田 共
兿	䒑 扌 丸 云
冀	北字旁 匕 田 共
冁	丷 日 十 尸 龷 畏字底
冂	冂
冃	冂 二
冄	冂 二
内	冂 人
円	冂 2 1
冇	左字框 冂
冈	冂 乂
冉	冂 里无日
冊	冊
冋	冂 口
册	册
再	1 冂 里无日
冎	见二 5 冂
冏	冂 八 口
冐	冒字头 青字底
冑	由 冂 二
冒	冒字头 目
冓	1 龷 冂 里无日
冔	冒字头 口 1 于无横
冕	冒字头 负字头 口 儿
冖	冖
冗	冖 几
冘	冖 儿
写	冖 与
冚	冖 山
军	冖 车
农	冖 衣省
冝	冖 且
冞	冖 米
冟	冖 白 匕
冠	冖 二 儿 寸
冡	冖 1 豕
冢	冖 豕 4
冣	冖 耳 又
冤	冖 兔
冥	冖 日 六
冦	冖 二 儿 卢字头 又
冧	冖 木 木
冨	冖 同字心 田
冩	冖 臼 勹 灬
冪	冖 艹 日 大 巾
冫	冫
冬	夂 冬字底
冭	大 冬字底
冮	冫 工
冯	冫 马
冰	冫 水
冱	冫 1 彑
冲	冫 口 2
决	冫 候右角 人
冴	冫 牙
况	冫 口 儿
冶	冫 厶 口
冷	冫 今 4
冸	冫 丷 举字底
冹	冫 左字框 又 4
冺	冫 民
冻	冫 东二 小
冼	冫 告字头 儿
冽	冫 歹 刂
冾	冫 亼 口
冿	冫 聿
净	冫 负字头 争字底
凁	冫 束
凂	冫 负字头 口 儿
凃	冫 全字头 余字底
凄	冫 1 妻字头无横 女
凅	冫 囗 古
准	冫 隹
凇	冫 木 八 厶
凈	冫 爫 争字底
凉	冫 享字头 小
凊	冫 龶 青字底
凋	冫 周字框 土 口
凌	冫 土 傻下角
凍	冫 木框 日
凎	冫 金
减	冫 戊 同字心
凐	冫 覀 土
凑	冫 春字头 1 大
凒	冫 山 同字心 䒑
凓	冫 覀 木
凔	冫 全字头 4 尸 1 口
凕	冫 冖 日 六
凖	冫 隹 十
凗	冫 山 隹
凘	冫 其 斤
凙	冫 罒 土 南字心
凚	冫 木 木 示
凛	冫 亠 囗 口 示
凜	冫 亠 囗 口 禾
凝	冫 匕 矢 龴 疋
凞	冫 3 臣 巳 灬
凟	冫 士 罒 目 八
几	几
凡	几 4
凢	3 几
凣	2 几
凤	风省 又
凥	尸 几
処	夂 几
凧	风省 巾
凨	风省 云
凩	风省 木
凪	风省 止
凫	鸟省 几
凬	风省 1 日
凭	亻 壬 几
凮	风省 1 白
凯	山 己 几
凰	风省 白 王
凱	山 同字心 䒑 几
凲	风省 兼
凳	癶 同字心 䒑 几
凴	冫 1 2 举字底 5 灬 几
凵	凵
凶	乂 凵
凷	土 凵
凸	凸无横 1
凹	凹无横 1
出	屮 凵
击	举字底 凵
凼	水 凵
函	了 率字腰 凵
凾	了 口 又 凵
凿	业 南字心 凵
刀	刀
刁	5 1
刂	刂
刃	刀 4
刄	刀 4
刅	刀 横两点
分	八 刀
切	七 刀
刈	乂 刂
刉	卧人 6 刂
刊	干 刂
刋	3 左字框 刂
刌	寸 刂
刍	负字头 彐
刎	勿 刂
刏	气 刂
刐	周字框 亠 刂
刑	1 廾 刂
划	戈 刂
刓	二 儿 刂
刔	候右角 人 刂
刕	刀 刀 刀
刖	月 刂
列	歹 刂
刘	文 刂
则	贝 刂
刚	冂 乂 刂
创	全字头 㔾 刂
刜	弗 刂
初	衤 刀
刞	且 刂
刟	刀 口 刂
删	册 刂
刡	民 刂
刢	今 4 刂
刣	厶 口 刂
判	丷 夫三 刂
別	口 勹 刂
刦	土 厶 刂
刧	土 厶 刀
刨	勹 巳 刂
利	禾 刂
刪	冊 刂
别	口 力 刂
刬	1 戈 刂
刭	经右角 工 刂
刮	舌 刂
刯	1 日 1 刂
到	至 刂
刱	井 刀 横两点
刲	土 土 刂
刳	大 二 5 刂
刴	乃 木 刂
刵	耳 刂
制	牛 冂 刂
刷	尸 巾 刂
券	龹 刀
刹	乂 朩 刂
刺	木框 冂 刂
刻	亥 刂
刼	土 厶 刀 4
刽	全字头 云 刂
刾	夫 丷 刂
刿	山 夕 刂
剀	山 己 刂
剁	几 木 刂
剂	齐 刂
剃	丷 弟省 刂
剄	1 巛 工 刂
剅	同字心 䒑 刂
剆	4 即字旁 刂
則	目 八 刂
剈	口 青字底 刂
剉	人 人 土 刂
削	尚字头 青字底 刂
剋	古 儿 刂
剌	束 刂
前	䒑 青字底 刂
剎	乂 木 4 刂
剏	䒑 廾 刀 4
剐	口 冂 人 刂
剑	亼 应字心 刂
剒	龷 日 刂
剓	禾 黎右角 刀
剔	日 勿 刂
剕	非 刂
剖	立 口 刂
剗	戈 戈 刂
剘	其 刂
剙	䒑 廾 刀 横两点
剚	同字心 隶字框 刂
剛	冂 䒑 山 刂
剜	宀 夕 㔾 刂
剝	彑 氺 刂
剞	大 可 刂
剟	又 又 又 又 刂
剠	享字头 小 刂
剡	火 火 刂
剢	豕 4 刂
剣	全字头 同字心 人 刂
剤	齐 二 刂
剥	录字头 氺 刂
剦	大 日 5 刂
剧	尸 古 刂
剨	丰 石 刂
剩	禾框 北字旁 匕 刂
剪	䒑 青字底 刂 刀
