骠	baa
饽	buaa
膘	buae
惫	buao
镳	buee
骢	caae
翅	ceia
摧	ceie
葱	ceii
槽	ceiu
厝	ceue
磋	ceui
串	ciae
岑	ciai
黜	ciao
龊	ciei
粲	cieu
氅	ciou
谌	coae
宸	cooa
涔	cooe
忏	cooi
炊	couu
刍	cuaa
倡	cuii
酊	deia
捣	deie
颠	deii
棣	deiu
殚	deua
砥	deui
耷	deuo
嘟	diae
巅	diai
谍	doae
褡	doai
痘	doeu
宕	dooa
滇	dooe
惰	dooi
奠	doue
胴	duae
锻	duee
酆	feee
蝠	fiae
幡	fiai
腓	fuae
瞽	geie
鸪	geii
梗	geiu
骼	giaa
噶	giae
帼	giai
痼	goeu
鲑	guai
缸	guee
牯	guei
篝	gueo
虢	guoo
舸	guua
彗	heee
酣	heia
恚	heie
葫	heii
哄	hiae
囫	hiau
麾	hoeu
阂	hoia
豁	hooa
鸿	hooe
憾	hooi
奂	huai
铧	huee
徊	huui
绞	jaae
孑	jaie
姣	jaue
袈	jaui
玖	jeei
柬	jeia
捷	jeie
菁	jeii
椒	jeiu
矶	jeui
叽	jiae
羁	jiai
谲	joaa
诫	joae
讥	joau
旌	joea
桨	joei
竣	joeo
剂	joeu
浇	jooe
憬	jooi
胶	juae
鲸	juai
桀	juao
狙	juau
锯	juee
稷	juei
笈	jueo
倔	juia
僵	juie
俭	juiu
挎	keie
蒯	keii
瞌	kiae
锟	kuee
骊	laae
陇	laie
珑	leei
剌	leia
拎	leie
蕾	leii
榴	leiu
雳	leoa
垄	leua
厘	leui
奁	leuo
蜡	liae
嶙	liai
囵	liau
蠃	loea
冽	loee
挛	loei
庐	loeu
闾	loia
寥	looa
漓	looe
粼	loue
馏	luaa
腊	luae
鲤	luai
镣	luee
俪	luie
俚	luii
敛	luoe
翎	luoo
徕	luui
缦	maae
弭	maea
嫫	maue
莽	meii
檬	meiu
睦	miae
皿	miai
幂	moai
闽	moia
沐	mooe
懵	mooi
馍	muaa
搦	neie
呶	niae
邳	peui
嘭	piae
澎	pooe
粕	poue
牝	puei
阡	qaiu
磬	qeie
颧	qeii
橇	qeiu
噙	qiae
岐	qiai
祛	qoai
麒	qoeu
淇	qooe
怯	qooi
铅	quee
蚋	riae
骚	saae
轼	seai
逝	seie
蔬	seii
啬	seio
梭	seiu
豕	seua
砷	seui
戍	seuo
暑	siae
嵩	siai
谡	soai
庶	soeu
漱	sooe
慎	sooi
馊	suaa
鳝	suai
飕	suau
黍	suei
筮	sueo
仕	suie
隼	suio
畲	suoe
舢	suua
屉	taeu
捅	teie
菟	teii
檀	teiu
嚏	tiae
阗	toia
汀	tooe
恬	tooi
婺	waoa
呜	wiae
闱	woia
仵	wuiu
骁	xaae
酗	xeia
熹	xeie
萱	xeii
橡	xeiu
戌	xeue
嗅	xiae
禧	xoai
燮	xoee
歆	xoeo
冼	xoeu
汹	xooe
惺	xooi
邂	xuau
铣	xuee
翕	xuoe
驿	yaae
熨	yaeu
隅	yaii
甬	yaoi
娱	yaue
鸢	yeao
耘	yeee
瑗	yeei
酉	yeia
焉	yeie
蕴	yeii
檐	yeiu
殃	yeua
靥	yeue
赝	yeuu
咽	yiae
峪	yiai
鹦	yiau
谚	yoao
诣	yoau
壅	yoea
翊	yoeo
奕	yoeu
寓	yooa
渔	yooe
怡	yooi
猷	youe
煜	youu
胭	yuae
颍	yuai
颖	yuau
氲	yuee
粤	yuia
佑	yuie
佯	yuio
觎	yuoe
鹞	yuoo
徉	yuui
纣	zaae
妯	zaue
轸	zeai
盏	zeea
琢	zeei
枣	zeia
栽	zeie
葬	zeii
桩	zeiu
殖	zeua
磔	zeui
吱	ziae
帜	ziai
赚	ziau
贞	ziei
祉	zoai
谆	zoao
诌	zoau
瘴	zoeu
涨	zooe
惴	zooi
粽	zoue
烛	zouu
邹	zuaa
肿	zuae
炙	zuao
狰	zuau
铮	zuee
乍	zuei
筝	zueo
皂	zuia
碧	b0
柏	b1
驳	b2
抱	b3
杯	b4
博	b5
拔	b6
倍	b7
蹦	b8
怖	b9
川	c0
乘	c1
驰	c2
操	c3
材	c4
菜	c5
惨	c6
侧	c7
崇	c8
测	c9
蒂	d0
丢	d1
缔	d2
抵	d3
懂	d4
躲	d5
戴	d6
胆	d7
吨	d8
读	d9
俯	f0
伐	f1
纺	f2
辅	f3
乏	f4
逢	f5
肤	f6
腹	f7
蝠	f8
浮	f9
棍	g0
拱	g1
媾	g2
贡	g3
柜	g4
丐	g5
耿	g6
刮	g7
嘎	g8
寡	g9
恢	h0
汗	h1
隍	h2
慧	h3
户	h4
河	h5
豪	h6
盒	h7
嘿	h8
火	h9
价	j0
角	j1
级	j2
极	j3
九	j4
久	j5
既	j6
集	j7
距	j8
讲	j9
槛	k0
拷	k1
绔	k2
捆	k3
垮	k4
勘	k5
盔	k6
铠	k7
骷	k8
廓	k9
浪	l0
劳	l1
骆	l2
露	l3
楼	l4
刘	l5
泪	l6
俩	l7
岭	l8
六	l9
棉	m0
麽	m1
娩	m2
茫	m3
漫	m4
漠	m5
磨	m6
卯	m7
瞒	m8
密	m9
孬	n0
糯	n1
鼐	n2
辇	n3
囡	n4
呶	n5
淖	n6
臬	n7
啮	n8
旎	n9
撇	p0
拚	p1
纰	p2
抛	p3
捧	p4
彭	p5
攀	p6
乓	p7
毗	p8
翩	p9
棋	q0
勤	q1
逡	q2
枪	q3
桥	q4
潜	q5
琴	q6
迁	q7
呛	q8
启	q9
溽	r0
轫	r1
妊	r2
苒	r3
缛	r4
桡	r5
蕤	r6
穰	r7
蚋	r8
襦	r9
沙	s0
试	s1
丝	s2
述	s3
商	s4
诉	s5
室	s6
舍	s7
睡	s8
视	s9
摊	t0
贪	t1
屉	t2
投	t3
挑	t4
拖	t5
坛	t6
甜	t7
炭	t8
滔	t9
遨	v0
嗄	v1
妸	v2
耦	v3
暧	v4
凹	v5
嗳	v6
胺	v7
呕	v8
鏖	v9
梧	w0
玮	w1
鹜	w2
巫	w3
妄	w4
枉	w5
兀	w6
丸	w7
呜	w8
汪	w9
销	x0
训	x1
寻	x2
薛	x3
限	x4
晓	x5
侠	x6
胸	x7
吸	x8
宣	x9
源	y0
艺	y1
阴	y2
亚	y3
研	y4
亦	y5
永	y6
余	y7
园	y8
音	y9
质	z0
追	z1
障	z2
直	z3
转	z4
增	z5
支	z6
造	z7
助	z8
族	z9
的	d
一	y
不	b
是	s
了	l
人	r
他	t
我	w
在	z
有	ye
道	do
你	n
来	le
她	ta
大	de
个	g
上	si
中	zi
到	dl
说	so
出	c
地	dt
为	wo
没	m
要	yx
着	zo
子	za
下	x
那	na
也	ya
得	du
和	h
会	hu
这	zl
就	j
时	sq
以	yr
之	zd
国	gi
可	k
去	q
名	mu
心	xo
过	ge
好	ha
然	ru
对	da
自	zu
小	xi
天	te
看	ku
手	su
生	sn
里	li
而	v
发	f
后	hk
能	ns
家	jo
起	qe
只	zk
命	mr
想	xe
事	se
还	he
如	ra
身	sp
多	dx
已	yj
面	me
无	we
头	to
方	fo
开	ke
都	dv
前	qo
知	zs
见	ji
声	st
又	yz
作	zr
成	ce
两	lh
用	yu
于	yv
经	ja
老	lt
笑	xu
法	fd
年	nu
当	di
日	ri
意	yo
点	db
动	dle
所	sj
此	ci
行	xc
现	xw
进	je
情	ql
但	dr
主	zw
使	sr
把	be
同	ti
定	dg
全	qu
回	hi
三	sv
样	ym
力	la
分	fu
本	bm
向	xk
实	sg
问	wm
女	nz
高	go
十	sh
话	ho
儿	vu
明	mi
气	qp
将	jz
与	yh
眼	yi
正	ze
走	zt
从	cu
真	zsi
些	xv
理	lw
己	jze
口	ki
外	wu
公	gu
门	mo
间	jm
其	qh
再	zh
等	dp
才	ch
种	zhi
工	gh
学	xx
民	ma
业	ys
相	xm
很	hc
关	gb
因	yk
文	wd
二	ve
部	bo
何	hr
却	qv
听	tk
少	sx
吗	mk
神	sni
被	bn
白	bu
住	zro
者	ztu
打	df
新	xj
便	br
月	yp
先	xn
位	wr
最	zq
机	jmu
给	ga
内	ni
什	sre
山	ss
引	yg
信	xr
加	jl
几	ju
别	bi
目	ms
处	cw
次	co
水	ssa
太	td
光	gx
入	rp
并	bb
合	hre
立	lo
由	yq
风	fp
表	bv
报	bf
难	ny
死	sd
长	cp
今	jr
平	p
展	zse
四	sk
金	jp
怎	zx
体	tu
色	sda
安	vo
果	gq
放	ff
更	ghi
马	mz
西	xh
感	gxe
觉	jx
化	hru
美	my
快	ko
总	zxo
夫	fe
第	dpa
接	jf
做	zre
直	zsia
叫	jk
比	bh
政	zwe
建	jla
连	ll
场	ct
市	sw
利	lu
望	ww
数	swo
解	jj
制	zlu
性	xl
让	ro
像	xru
原	yc
步	bni
近	jlu
轻	qc
系	xxu
世	sc
王	wh
教	jw
特	tn
边	ba
托	tf
重	cv
通	tl
万	wha
师	sji
产	cl
结	jje
算	spi
任	rr
双	sa
电	dq
脸	lv
常	cj
东	dh
路	lz
张	zg
强	qa
受	sz
各	gw
记	jy
非	fi
冷	ld
著	zc
爱	vz
们	mro
花	hcu
飞	fa
活	hd
云	yva
及	jpa
度	dge
必	bx
么	msu
至	zte
清	qd
亲	qle
官	gg
思	sto
五	whi
件	jru
变	bw
该	gy
海	hdu
管	gp
未	wv
长	zp
指	zf
谁	sy
江	jd
计	jye
带	dj
认	ry
社	sne
交	jwu
深	sdo
言	yd
华	hs
往	wc
吧	bk
斯	squ
题	ty
保	bri
似	sra
南	ne
完	wg
林	lm
员	yki
书	sza
许	xy
决	jda
务	wwa
武	wn
干	gv
形	xp
反	fy
衣	yde
元	yvu
剑	jluo
物	wnu
龙	lhu
呢	nk
条	tw
它	tg
重	zv
义	ydu
青	qhe
区	qk
若	re
车	cha
容	rx
程	chi
北	bs
统	tj
服	fv
红	hj
求	qhi
量	lq
跟	gz
落	lc
济	jdo
满	md
告	gn
李	lma
拉	lf
惊	jlo
娘	nn
即	jg
吃	ck
黑	hsa
尔	vx
空	kx
军	jge
传	cr
找	zfe
石	shu
极	jmua
远	yl
早	zqe
取	qva
领	ly
息	xz
玉	yw
则	zb
微	wci
且	qi
改	gj
流	ldo
战	zgi
办	bl
令	lr
半	bd
离	lwu
虽	ski
据	jfa
收	swa
资	zbo
请	qy
百	bhu
字	zga
火	hduu
基	jq
失	spe
倒	dre
怕	po
房	fh
弟	dba
式	sge
论	lyu
象	xd
紧	jxi
奇	qde
竟	jyu
科	kh
克	ks
候	hri
达	dleu
影	ypi
势	sl
持	cf
杀	sm
德	dc
议	yy
视	snia
绝	jju
音	ydeo
术	smo
伤	sru
或	hh
期	qq
突	tx
男	nt
士	ste
司	ska
坐	ztuo
每	mm
众	zru
随	sve
设	syu
院	yvo
喜	xt
父	fpo
委	whau
急	jxu
代	drea
语	yye
刻	kl
切	qdea
暗	vi
兄	xku
掌	zsio
党	dvi
客	kg
农	no
城	cte
技	jfe
刚	gl
哥	gk
怪	gla
友	yyeu
界	jt
品	pi
乎	hp
根	gm
精	jme
八	bp
首	sb
举	jxe
罗	lzu
姑	gne
识	syi
共	gbe
苦	kc
队	dvu
组	zj
运	yle
敢	gwa
企	qr
格	gmu
治	zda
府	fg
京	jwi
谈	tyo
尽	js
孩	hz
台	ts
际	jv
答	dpu
单	dbi
照	zli
千	qs
确	qsu
断	djo
足	zsa
示	she
整	zn
图	tku
留	ltu
片	pu
始	sna
布	bj
铁	tju
香	xhi
般	bz
晚	wi
准	zdu
集	jzei
七	qha
刀	dz
待	dce
忽	hx
英	yci
导	dje
宝	bg
错	cje
帮	bje
行	hce
联	lvo
阿	va
兴	xxe
约	yju
沉	cd
夜	ywu
曾	cb
低	dru
仍	rra
招	zfa
消	xdi
欢	hy
忙	ml
观	gyi
易	yqu
害	hg
志	zto
功	gga
规	gje
提	tfi
越	yze
九	jpaa
哪	nka
送	slo
站	zlie
久	jpao
周	zke
阳	yvi
复	fw
局	jsa
施	sf
拿	nr
愿	yxe
母	mza
甚	sqa
爷	yf
阵	zve
备	bwi
项	xg
广	gc
群	qya
终	zju
姐	jn
啊	vk
应	ygo
商	swou
增	ztou
底	dgu
团	tke
巴	bzi
钱	qj
故	gwe
血	xpi
热	rl
念	nx
黄	hb
查	cm
响	xkui
静	jqu
闻	wme
脚	jve
支	zsao
星	xq
模	mme
究	jxua
造	zlue
包	bba
护	hf
楚	cy
亚	yyei
酒	jde
乐	lx
段	ds
注	zdo
依	yro
六	lwuo
句	jb
除	ca
希	xju
况	kd
喝	hki
证	zy
显	xqi
须	xpe
严	yce
破	pe
古	gs
左	zge
村	cme
省	smi
费	fb
怀	hl
线	xa
摇	yfu
存	cz
诉	syuu
痛	tb
装	zyo
另	lk
类	lme
汉	hda
居	jse
具	jbi
哈	hku
灵	lxo
标	bme
硬	yse
冲	cdi
击	jvi
挺	tfu
雷	lvi
纪	jja
选	xlu
需	xve
既	jgea
毒	dm
参	cs
权	qm
环	hw
专	zva
呼	hkuo
谢	xyu
雪	xva
派	pd
尚	sxi
退	tla
优	yre
银	yja
否	fk
兰	lb
器	qki
兵	bbu
追	zlui
细	xji
木	mh
异	yje
续	xje
湖	hde
赞	zbu
级	jjua
停	tr
树	sma
争	zdae
背	bvi
乱	ls
育	ywa
怒	nxa
君	jka
革	ghii
右	yke
独	dqi
节	jc
旁	pw
够	gbi
莫	mc
敌	dw
止	zsei
疑	yyu
宫	ggi
席	xge
态	txe
构	gmua
穿	cx
闪	smu
调	dy
效	xwo
病	bbe
妹	mn
赶	gze
摩	mso
露	lvia
料	lmo
救	jwe
责	zbe
历	lca
顾	gye
嘴	zki
速	sle
较	jco
陈	cve
副	fl
维	wa
境	jto
缓	hju
称	chu
史	sku
楼	lmou
药	yca
致	zwea
讲	jyee
负	fdi
抓	zfu
差	cye
型	xte
采	cze
继	jjo
助	zlia
威	wge
吉	jti
值	zrei
妈	mna
寒	hge
丽	lhi
室	sgea
角	jpau
顶	dye
亮	lwi
医	yku
号	hke
雨	yhi
温	wdi
杨	yma
烈	lle
案	vm
职	zvi
假	jra
梦	mx
游	ydo
户	hdae
扬	yfa
河	hdei
陪	pv
齐	qw
忍	rxa
初	cn
礼	ln
价	jruo
斗	dd
族	zfue
您	nxu
索	sso
圣	sye
眉	mma
座	zgu
余	yree
鬼	gpi
禁	jsei
睛	jmee
险	xvu
涉	sdi
围	wk
承	czi
胜	svu
修	xri
创	clu
协	xs
慢	mli
写	xgea
划	hgi
激	jdu
私	sha
列	ldi
堂	tt
春	cq
咱	zku
秋	qho
胡	hv
叹	tka
播	bfu
妇	fn
耳	vh
脑	nv
仅	jrao
简	jpo
县	xsi
织	zji
份	fr
仙	xria
唐	tga
换	hfu
防	fvo
赛	sbo
肯	kn
船	czu
考	kt
挥	hfo
网	wku
庄	zgei
呀	ykea
朱	zpe
善	syo
素	sxe
阴	yvua
尼	nsu
益	yb
瞧	qmu
州	zduo
充	cwa
岁	ssu
睡	smue
福	fne
皮	pa
层	cse
炸	zhu
波	bda
跳	tz
忘	wx
遇	yli
刘	lwii
担	dfi
习	xda
掉	dfie
柔	rm
营	yco
贵	gbia
土	th
隐	yvua
置	zz
良	lg
跑	pz
伯	bru
排	pf
屋	ws
脱	tv
块	kta
孙	szi
渡	ddo
律	lcae
亦	ywui
震	zveu
幸	xto
供	gr
狂	kq
策	cpe
画	hhi
按	vf
卫	wve
逃	tlu
察	cg
景	jqo
寻	xxei
积	jh
涌	yda
猛	mq
草	cc
佛	fra
股	gvu
叶	ykei
秀	xha
访	fyo
魔	mg
啦	lke
乡	xza
辈	bc
散	swe
守	sgei
范	fc
松	smuo
免	mdi
属	ssui
虎	hhu
恐	kxe
养	ybe
伸	sri
警	jyei
婚	hn
艺	ycaa
厉	lce
凌	lde
执	zfua
皇	hbe
毛	mp
验	ymu
富	fge
状	zze
攻	ggu
某	mce
迎	ylu
练	lj
食	spo
源	ydeu
顺	syui
适	slu
玩	wwe
田	tsa
镇	zje
翻	fvu
罪	zzi
困	kk
欲	yquo
苏	sca
章	zye
恨	hla
毫	hwi
央	ydi
米	mdu
泪	ldia
醒	xyi
靠	kni
略	ltua
饭	fs
端	dli
床	cge
味	wke
雄	xze
讨	tye
燕	ylei
批	pfe
渐	jdea
顿	dyea
冰	bdi
刺	cle
获	hcua
付	fre
宣	xgei
姓	xnu
替	tq
探	tfo
球	qwe
配	py
凤	fj
徐	xcu
归	gxi
港	gd
恩	vxi
欧	vq
射	sse
宁	ng
店	dgi
演	ydoo
迷	mlo
钟	zjia
珠	zwu
普	pb
梅	mmu
征	zce
洞	ddi
赵	zzu
临	lsi
胸	xvua
吸	xkua
财	cbe
限	xvae
舞	wp
印	yvua
买	mda
凡	fjo
班	bwo
拍	pfu
检	jmuo
握	wf
献	xqe
压	ycei
尊	zco
虚	xhii
婆	pn
劳	llei
推	tfui
短	dse
超	cza
妻	qn
稳	whu
伙	hro
康	kga
移	yhu
劲	jlao
卡	kb
朝	cvei
藏	cce
调	tyu
恶	vxe
校	xmo
率	lwa
秘	mho
弄	nw
陆	lve
徒	tc
封	fce
奔	bde
厅	tce
哭	kqi
祖	zni
板	bmu
烟	yhia
互	hha
序	xga
谷	gku
蓝	lci
败	bbue
默	mhe
均	jtu
预	yya
园	ykee
软	rc
控	kf
仇	cru
妙	mni
窗	cxu
野	yla
占	zbi
夏	xwe
骨	gsa
邪	xvea
试	syee
盘	pzi
污	wde
杰	jmo
避	bla
肩	jhi
抬	tfa
坏	ht
紫	zxi
休	xre
讯	xya
监	jmi
束	shi
午	wpe
蒙	mse
词	cya
曰	yqi
犯	fq
读	dyei
乃	nzu
纳	nj
例	lre
登	dde
含	hroa
沈	sdoa
浪	ldoa
研	ysee
宽	kge
柳	lmu
亿	yra
笔	bpu
智	zqu
罢	bze
绿	lja
厂	chuu
韩	hwe
肉	rk
坚	jtii
巨	jkae
雅	yzea
馆	gso
伊	yrae
杜	dme
吴	wkee
套	tde
灯	dhe
丹	dk
剧	jlae
萧	xca
帝	dwo
麻	mde
透	tlue
巧	qg
晓	xqea
街	jce
桌	zbia
姊	znu
牙	yha
毕	bbei
泽	zdao
杯	bmeu
摆	bfi
评	pye
拜	bse
曲	qqi
奥	vd
油	ydia
偷	tru
杂	zm
朝	zvei
介	jrui
纵	zjuo
洲	zdou
牛	np
卖	msa
凝	nd
输	scu
健	jrae
荣	rme
述	slei
域	yt
款	kqe
概	gma
宇	yge
彩	cpu
臂	bva
歌	gqe
旧	jqi
秦	qhee
偏	pr
测	cdia
侠	xreo
迟	cla
爹	dfu
诗	syei
针	zjei
版	bpuu
鱼	ypa
烦	fhe
贝	bsa
愈	yxu
丁	dhi
尖	jxeu
魂	hgee
懂	dlei
升	snu
峰	fsu
惜	xle
转	zcee
童	tli
弱	rg
敬	jwei
抗	kfo
丝	shaa
戏	xye
宗	zgee
吓	xke
误	wy
促	cri
遭	zle
郎	lvoa
诸	zyei
尤	yyo
挑	tfuo
牌	pp
洛	ldu
盛	sme
借	jre
熟	sloe
庭	tgu
娇	jnu
锋	fju
喊	hkeu
架	jma
横	hm
侧	cria
唇	cci
豪	hwia
努	nl
编	bjo
判	pl
盖	gyia
贫	pbu
拳	qso
抢	qf
络	lju
闭	bmei
贸	mb
孤	gzu
虑	lho
拥	yfua
悲	bxi
爸	bfa
疾	jbu
训	xyui
额	vy
销	xjio
迹	jloe
冒	mqi
玄	xwa
哼	hko
岂	qsa
怜	llu
狠	hq
鲜	xvo
伟	wre
叔	syie
胆	dvia
迫	plu
折	zfuu
腰	yve
残	cde
抽	cfi
娜	nna
骂	mmi
凶	xkuo
摸	mf
飘	pfei
墙	qt
轮	lcu
扑	pfi
阶	jvu
茶	ccu
趣	qz
洋	ydou
舍	sree
操	cfia
腿	tva
厚	hci
闹	nm
塞	stoo
诺	nye
减	jdeu
氏	spa
纸	zjua
础	csa
碰	ps
释	spou
森	smei
材	cmei
朋	pvu
培	pt
圆	ykia
唯	wkui
缺	qfa
届	jsi
遍	blo
伦	lru
竹	zpei
货	hbu
混	hdi
孔	ka
奋	fdia
庆	qge
奶	nnau
遗	ylia
仲	zri
枪	qmuo
勒	lga
映	yqia
洪	hdei
鼓	gt
谓	wyi
鲁	lvia
跃	yzu
质	zbuu
舒	sree
穴	xdo
颜	yyoe
孟	mzi
税	sho
搞	gf
挂	gfe
壁	bt
夺	ddei
菜	ccuo
贼	zbee
逼	ble
慕	mxe
妖	yn
宋	sgei
允	ysu
旅	lfu
审	sgi
绍	sja
补	bnio
伏	freu
俊	jrao
扶	ffe
迅	xla
勇	ylao
附	fvui
朗	lvoa
仿	fro
途	tluo
狗	gqu
骑	qme
昨	zque
暴	bq
乌	wpa
瞪	dma
亡	wwaa
固	gke
诚	cyeu
盟	mmia
滚	gdo
咬	yko
吻	wkua
融	rce
岛	dsu
博	bsei
吟	ykuo
库	kgea
措	cfe
弃	qwa
卷	jbe
珍	zwuo
煮	zlei
累	lta
袋	dyu
乔	qpe
聚	jva
票	px
稍	shio
惨	clao
丰	fve
恶	wxe
犹	yqe
烧	shea
录	lxi
饿	vs
嘛	mko
塔	tte
幽	ysa
择	zfao
悄	qli
逐	zleu
俄	vr
斜	xdu
缘	yjaa
踪	zzo
皆	jbui
予	yzo
佳	jrei
闲	xme
凭	pj
泄	xde
郭	gvo
触	cji
乘	cpei
貌	mzu
昏	hqu
督	dmi
佩	pru
奖	jdoe
纯	cjea
阻	zvia
扎	zfaa
径	jca
振	zfeu
奉	fveu
伴	bro
餐	csi
芳	fco
尺	cso
竞	jli
韦	whe
扩	kfoe
邓	dya
瓦	whaa
篡	cpi
萨	scai
躲	dsua
皱	zpu
抵	dfua
核	hmo
隔	gve
撞	zfo
尘	cxe
捕	bfe
瑞	rw
泰	tse
谋	mye
羽	yzoe
欣	xjua
宜	ygi
幕	mj
鼻	bpi
甘	gce
仰	yru
怨	yxua
损	sfi
码	msaa
括	kfu
尸	sze
仁	rre
灰	hhe
吐	tkei
